id,team_id,year,att,made,range
594,24,1973,10,9,0
595,24,1973,9,7,1
596,24,1973,16,9,2
597,24,1973,11,5,3
598,24,1973,0,0,4
599,24,1973,0,0,5
600,11,1973,8,8,0
601,11,1973,7,5,1
602,11,1973,13,6,2
603,11,1973,9,3,3
604,11,1973,0,0,4
605,11,1973,0,0,5
606,26,1973,7,6,0
607,26,1973,6,5,1
608,26,1973,9,4,2
609,26,1973,13,2,3
610,26,1973,0,0,4
611,26,1973,0,0,5
612,28,1973,10,9,0
613,28,1973,12,10,1
614,28,1973,9,5,2
615,28,1973,12,5,3
616,28,1973,0,0,4
617,28,1973,0,0,5
618,31,1973,7,7,0
619,31,1973,9,7,1
620,31,1973,7,4,2
621,31,1973,10,3,3
622,31,1973,0,0,4
623,31,1973,0,0,5
624,0,1974,2,2,0
625,0,1974,7,5,1
626,0,1974,3,2,2
627,0,1974,12,2,3
628,0,1974,0,0,4
629,0,1974,0,0,5
630,1,1974,0,0,0
631,1,1974,5,4,1
632,1,1974,5,3,2
633,1,1974,3,2,3
634,1,1974,0,0,4
635,1,1974,0,0,5
636,2,1974,1,1,0
637,2,1974,2,2,1
638,2,1974,9,5,2
639,2,1974,6,3,3
640,2,1974,0,0,4
641,2,1974,0,0,5
642,3,1974,0,0,0
643,3,1974,10,8,1
644,3,1974,9,6,2
645,3,1974,12,5,3
646,3,1974,0,0,4
647,3,1974,0,0,5
648,4,1974,1,0,0
649,4,1974,4,3,1
650,4,1974,7,6,2
651,4,1974,8,2,3
652,4,1974,0,0,4
653,4,1974,0,0,5
654,5,1974,1,1,0
655,5,1974,7,7,1
656,5,1974,3,3,2
657,5,1974,4,3,3
658,5,1974,0,0,4
659,5,1974,0,0,5
660,7,1974,0,0,0
661,7,1974,3,2,1
662,7,1974,9,5,2
663,7,1974,10,6,3
664,7,1974,0,0,4
665,7,1974,0,0,5
666,8,1974,0,0,0
667,8,1974,3,2,1
668,8,1974,5,1,2
669,8,1974,5,3,3
670,8,1974,0,0,4
671,8,1974,0,0,5
672,9,1974,1,1,0
673,9,1974,7,7,1
674,9,1974,8,5,2
675,9,1974,4,3,3
676,9,1974,0,0,4
677,9,1974,0,0,5
678,10,1974,0,0,0
679,10,1974,8,8,1
680,10,1974,5,2,2
681,10,1974,6,2,3
682,10,1974,0,0,4
683,10,1974,0,0,5
684,12,1974,1,1,0
685,12,1974,6,6,1
686,12,1974,8,3,2
687,12,1974,5,0,3
688,12,1974,0,0,4
689,12,1974,0,0,5
690,13,1974,1,0,0
691,13,1974,5,4,1
692,13,1974,3,2,2
693,13,1974,4,2,3
694,13,1974,0,0,4
695,13,1974,0,0,5
696,14,1974,1,1,0
697,14,1974,2,1,1
698,14,1974,6,4,2
699,14,1974,6,4,3
700,14,1974,0,0,4
701,14,1974,0,0,5
702,15,1974,0,0,0
703,15,1974,4,2,1
704,15,1974,5,5,2
705,15,1974,6,2,3
706,15,1974,0,0,4
707,15,1974,0,0,5
708,16,1974,0,0,0
709,16,1974,3,2,1
710,16,1974,8,6,2
711,16,1974,8,2,3
712,16,1974,0,0,4
713,16,1974,0,0,5
714,18,1974,1,0,0
715,18,1974,6,4,1
716,18,1974,7,5,2
717,18,1974,4,3,3
718,18,1974,0,0,4
719,18,1974,0,0,5
720,19,1974,0,0,0
721,19,1974,8,6,1
722,19,1974,15,13,2
723,19,1974,8,4,3
724,19,1974,0,0,4
725,19,1974,0,0,5
726,30,1974,0,0,0
727,30,1974,7,4,1
728,30,1974,4,2,2
729,30,1974,7,3,3
730,30,1974,0,0,4
731,30,1974,0,0,5
732,20,1974,3,3,0
733,20,1974,7,7,1
734,20,1974,12,8,2
735,20,1974,12,6,3
736,20,1974,0,0,4
737,20,1974,0,0,5
738,22,1974,0,0,0
739,22,1974,7,6,1
740,22,1974,10,8,2
741,22,1974,5,2,3
742,22,1974,0,0,4
743,22,1974,0,0,5
744,23,1974,1,1,0
745,23,1974,3,3,1
746,23,1974,8,5,2
747,23,1974,3,2,3
748,23,1974,0,0,4
749,23,1974,0,0,5
750,24,1974,1,1,0
751,24,1974,6,5,1
752,24,1974,5,2,2
753,24,1974,4,1,3
754,24,1974,0,0,4
755,24,1974,0,0,5
756,11,1974,1,1,0
757,11,1974,6,3,1
758,11,1974,13,9,2
759,11,1974,10,6,3
760,11,1974,0,0,4
761,11,1974,0,0,5
762,26,1974,0,0,0
763,26,1974,6,4,1
764,26,1974,4,2,2
765,26,1974,4,1,3
766,26,1974,0,0,4
767,26,1974,0,0,5
768,28,1974,0,0,0
769,28,1974,9,8,1
770,28,1974,12,8,2
771,28,1974,7,4,3
772,28,1974,0,0,4
773,28,1974,0,0,5
774,31,1974,0,0,0
775,31,1974,7,7,1
776,31,1974,7,3,2
777,31,1974,6,2,3
778,31,1974,0,0,4
779,31,1974,0,0,5
780,0,1975,2,2,0
781,0,1975,9,7,1
782,0,1975,3,1,2
