id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
317,23,1981,71,1411,0,39,2,47,0,5
318,24,1981,68,1244,0,29,2,50,0,2
319,11,1981,67,1673,0,48,6,84,0,2
320,26,1981,70,1523,0,41,3,57,0,3
321,27,1981,69,1278,0,32,0,36,0,7
322,28,1981,53,1096,0,34,0,35,0,0
323,31,1981,67,1328,1,28,4,99,0,6
324,0,1982,36,742,0,17,2,45,0,1
325,1,1982,34,622,0,15,0,36,0,2
326,2,1982,31,643,0,17,1,55,0,1
327,3,1982,36,792,0,18,3,66,0,3
328,4,1982,40,818,0,27,0,34,0,2
329,5,1982,38,754,0,18,0,36,0,0
330,6,1982,33,548,0,11,0,27,0,4
331,7,1982,35,702,0,19,0,33,0,1
332,8,1982,45,890,0,21,2,47,0,1
333,9,1982,34,723,0,21,1,68,0,0
334,10,1982,42,753,0,15,0,33,0,0
335,12,1982,33,651,0,18,0,35,0,3
336,13,1982,24,507,0,14,0,32,0,0
337,14,1982,39,768,0,14,3,44,0,2
338,15,1982,29,513,0,11,0,33,0,0
339,16,1982,39,783,0,22,0,34,0,3
340,18,1982,33,667,0,18,0,37,0,0
341,19,1982,36,750,1,12,3,96,0,3
342,30,1982,45,905,0,22,2,45,0,0
343,20,1982,34,664,0,12,1,76,0,1
344,22,1982,28,646,1,13,1,98,0,1
345,23,1982,36,754,0,16,2,55,0,3
346,24,1982,45,869,0,17,2,85,0,4
347,11,1982,30,649,0,16,2,58,0,3
348,26,1982,26,577,0,13,2,75,0,2
349,27,1982,29,544,0,12,0,32,0,2
350,28,1982,28,569,0,14,2,57,0,3
351,31,1982,37,786,0,18,1,76,0,4
352,0,1983,52,958,0,19,1,46,0,0
353,1,1983,58,953,0,20,0,38,0,1
354,2,1983,54,1097,0,28,1,49,0,2
355,3,1983,64,1363,0,35,5,60,0,6
356,4,1983,56,1077,0,33,1,42,0,2
357,5,1983,63,1290,0,34,0,38,0,0
358,6,1983,68,1314,0,36,3,50,0,5
359,7,1983,72,1459,0,34,1,66,0,5
360,8,1983,74,1377,0,32,1,41,0,3
361,9,1983,54,929,0,23,1,46,1,1
362,10,1983,62,1198,0,24,3,90,0,3
363,12,1983,71,1351,0,32,4,53,0,4
364,13,1983,47,1085,0,29,4,78,0,2
365,14,1983,62,1168,0,28,2,52,0,1
366,15,1983,67,1258,0,29,0,35,0,7
367,16,1983,71,1333,0,31,1,54,0,2
368,18,1983,66,1375,0,36,4,64,0,4
369,19,1983,61,1191,0,31,1,51,0,2
370,30,1983,83,1676,2,28,4,97,0,3
371,20,1983,79,1339,0,31,1,57,0,7
372,22,1983,57,1155,0,32,1,53,0,6
373,23,1983,61,1175,0,32,2,48,1,3
374,24,1983,52,946,0,23,2,44,0,3
375,11,1983,63,1301,0,28,4,58,0,0
376,26,1983,66,1339,0,31,4,61,0,1
377,27,1983,71,1575,1,41,3,94,0,1
378,28,1983,59,1068,0,23,0,35,0,4
379,31,1983,68,1466,0,34,4,50,0,0
380,0,1984,47,1039,0,26,5,51,0,3
381,1,1984,49,896,0,18,1,40,2,1
382,2,1984,61,1155,0,24,4,46,0,5
383,3,1984,76,1422,0,27,3,65,0,1
384,4,1984,45,897,0,25,1,40,0,4
385,5,1984,61,1157,0,28,1,40,0,4
386,6,1984,68,1354,0,36,2,43,0,3
387,7,1984,74,1563,0,43,2,56,0,0
388,8,1984,63,1319,0,37,2,55,0,4
389,9,1984,56,1061,0,25,1,45,0,1
390,10,1984,69,1331,1,26,3,96,0,3
391,12,1984,63,1199,0,33,0,34,0,4
392,13,1984,44,799,0,17,2,41,0,2
393,14,1984,59,1156,1,21,3,89,0,3
394,15,1984,70,1367,0,36,3,50,0,3
395,16,1984,61,1117,0,23,1,52,0,2
396,18,1984,65,1498,1,32,8,97,0,3
397,19,1984,74,1347,0,34,1,46,0,6
398,30,1984,69,1352,0,33,1,49,0,1
399,20,1984,67,1362,1,28,4,97,0,1
400,22,1984,63,1246,0,32,2,46,0,1
401,23,1984,56,1216,0,35,3,62,0,1
402,24,1984,58,1244,1,36,3,43,0,1
403,11,1984,60,1174,0,28,0,36,0,1
404,26,1984,72,1465,0,32,2,64,0,0
405,27,1984,54,1007,0,23,0,38,0,2
406,28,1984,54,1026,0,27,2,47,0,6
407,31,1984,86,1775,0,42,3,47,0,1
408,0,1985,58,1269,1,30,3,95,0,1
409,1,1985,43,1089,2,27,3,99,0,0
410,2,1985,67,1385,0,38,2,45,0,3
411,3,1985,68,1334,0,35,0,39,0,4
412,4,1985,52,1203,0,36,0,39,0,1
413,5,1985,53,1217,0,27,6,81,0,2
414,6,1985,80,1622,0,36,5,58,0,6
415,7,1985,78,1421,0,37,0,35,0,10
416,8,1985,71,1494,1,35,4,98,0,2
417,9,1985,59,1117,0,29,1,40,0,2
418,10,1985,67,1403,0,37,3,48,0,3
419,12,1985,62,1210,0,33,0,34,0,3
420,13,1985,52,1177,0,28,3,46,0,1
421,14,1985,56,1160,0,26,5,51,0,4
422,15,1985,72,1406,1,33,2,94,0,2
423,16,1985,50,866,0,18,2,43,0,6
424,18,1985,53,1043,0,18,5,58,0,2
425,19,1985,68,1494,0,38,2,54,0,3
426,30,1985,67,1515,0,43,4,52,0,1
427,20,1985,67,1318,0,35,2,48,0,3
428,22,1985,57,1119,0,31,1,53,0,3
429,23,1985,54,1132,0,28,2,57,0,1
430,24,1985,56,1394,3,25,5,98,0,2
431,11,1985,60,1349,0,36,2,95,0,0
432,26,1985,71,1547,0,32,7,69,0,0
433,27,1985,58,1166,0,27,2,58,0,2
434,28,1985,65,1337,0,43,1,40,0,2
435,31,1985,68,1576,0,35,5,88,0,2
436,0,1986,42,757,0,17,0,34,0,1
437,1,1986,50,1115,2,23,5,91,0,0
438,2,1986,63,1389,0,38,3,94,0,1
439,3,1986,55,1074,0,26,2,49,0,5
440,4,1986,53,1094,0,29,2,42,0,1
441,5,1986,62,1213,1,23,1,100,0,0
442,6,1986,75,1302,0,30,0,33,0,2
443,7,1986,70,1548,0,44,4,53,0,1
444,8,1986,65,1137,0,25,0,35,0,4
445,9,1986,56,1117,1,24,1,97,0,1
446,10,1986,74,1443,0,37,0,37,0,4
447,12,1986,59,1208,0,29,3,56,0,4
448,13,1986,65,1185,0,29,1,41,0,6
449,14,1986,53,945,0,18,2,51,0,4
450,15,1986,54,1035,0,27,0,35,0,2
451,16,1986,50,868,0,19,0,30,0,2
452,18,1986,63,1189,2,22,4,96,0,1
453,19,1986,67,1321,0,33,2,54,0,1
454,30,1986,59,1139,0,30,1,48,0,1
455,20,1986,76,1470,0,34,3,57,0,2
456,22,1986,58,1147,0,26,2,52,0,0
457,23,1986,64,1252,0,27,3,59,0,1
458,24,1986,59,1160,0,32,2,55,0,4
459,11,1986,60,1175,0,28,0,37,0,3
460,26,1986,55,1332,1,36,4,101,0,0
461,27,1986,64,1322,0,34,1,46,0,0
462,28,1986,66,1304,0,29,3,64,0,3
463,31,1986,56,1200,0,35,3,43,0,1
464,0,1987,55,1144,1,29,3,92,0,3
465,1,1987,57,1193,1,29,2,88,0,2
466,2,1987,67,1161,0,26,0,34,0,1
467,3,1987,45,872,0,20,1,40,0,4
