id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
278,10,1980,26,188,0,0,0,20,15,0
279,12,1980,55,556,0,0,0,52,4,0
280,13,1980,32,213,0,0,0,30,23,0
281,14,1980,63,560,0,0,0,32,2,0
282,15,1980,53,536,0,0,0,56,10,0
283,16,1980,37,302,0,0,0,66,13,0
284,18,1980,33,269,0,0,0,24,8,0
285,19,1980,56,463,0,0,0,53,10,0
286,30,1980,48,384,0,0,0,68,8,0
287,20,1980,37,297,0,0,0,20,9,0
288,22,1980,60,513,1,0,0,75,6,0
289,23,1980,49,421,0,0,0,34,7,0
290,24,1980,47,315,0,0,0,26,14,0
291,11,1980,48,487,0,0,0,64,5,0
292,26,1980,22,176,0,0,0,18,12,0
293,27,1980,41,349,1,0,0,75,9,0
294,28,1980,45,391,0,0,0,27,6,0
295,31,1980,34,251,0,0,0,19,10,0
296,0,1981,48,344,0,1,0,39,10,4
297,1,1981,45,518,1,5,2,88,24,2
298,2,1981,29,205,0,1,0,34,19,2
299,3,1981,35,292,0,2,0,25,7,0
300,4,1981,51,441,0,4,0,39,5,3
301,5,1981,50,369,0,2,1,40,6,5
302,6,1981,38,244,0,1,1,56,3,2
303,7,1981,43,453,1,3,2,50,2,3
304,8,1981,31,378,0,7,1,42,10,3
305,9,1981,50,528,0,6,1,62,7,2
306,10,1981,12,56,0,0,0,11,7,3
307,12,1981,45,235,0,0,0,17,5,2
308,13,1981,45,458,1,4,1,87,17,1
309,14,1981,58,422,0,3,1,52,8,4
310,15,1981,50,383,0,4,1,53,19,2
311,16,1981,64,502,0,4,1,55,5,3
312,18,1981,50,337,0,2,1,46,13,7
313,19,1981,52,450,1,4,1,45,9,3
314,30,1981,41,325,0,5,1,40,4,0
315,20,1981,40,306,1,1,1,94,10,2
316,22,1981,31,199,0,2,0,26,7,3
317,23,1981,52,380,1,3,1,52,16,8
318,24,1981,49,676,3,7,4,84,8,3
319,11,1981,49,507,2,4,3,75,4,3
320,26,1981,41,426,0,4,0,36,7,3
