id,team_id,year,net_yds,punts,yds,in_20,oob,dn,tb,fc,ret,rety,td,p_blk
225,14,1978,2831,91,3385,18,10,12,10,12,47,354,1,1
226,15,1978,3742,109,4227,24,10,16,9,20,54,305,0,1
227,16,1978,3151,95,3995,19,7,10,11,6,61,624,0,0
228,18,1978,2215,74,2964,9,6,7,7,2,52,609,0,0
229,19,1978,3047,86,3654,19,8,9,7,8,54,467,0,1
230,30,1978,2902,91,3539,20,8,4,6,20,53,517,1,1
231,20,1978,3293,106,3759,20,8,16,9,22,51,286,0,0
232,22,1978,1785,61,2137,16,12,6,4,10,29,272,0,0
233,23,1978,2873,81,3462,23,18,6,14,5,38,309,0,2
234,24,1978,2746,83,3069,26,11,10,5,19,38,223,1,2
235,11,1978,3528,103,4056,23,7,13,10,25,48,328,2,1
236,26,1978,2793,84,3532,14,5,6,10,4,59,539,0,2
237,27,1978,2022,69,2513,14,7,11,6,9,36,371,0,0
238,28,1978,2323,66,2642,14,12,3,4,9,38,239,0,0
239,31,1978,2390,82,3091,15,10,7,8,5,52,541,0,3
240,0,1979,2164,71,2626,15,12,5,10,7,37,262,0,1
241,1,1979,2962,92,3486,26,7,13,6,12,54,404,0,1
242,2,1979,3113,89,3678,19,11,9,12,9,48,325,0,2
243,3,1979,2896,96,3671,14,3,12,11,9,61,555,1,0
244,4,1979,2935,89,3555,17,11,8,7,11,52,480,0,0
245,5,1979,2289,69,2844,7,4,9,9,2,45,375,0,2
246,6,1979,2909,93,3679,14,6,7,25,8,47,270,0,2
247,7,1979,2562,79,3060,17,9,12,6,7,45,378,0,2
248,8,1979,2352,75,2736,23,2,12,9,18,34,204,0,0
249,9,1979,3348,89,3883,23,15,6,11,8,49,315,0,1
250,10,1979,3261,99,3657,21,8,19,5,24,43,296,1,2
251,12,1979,2736,76,3168,21,7,8,9,18,34,252,0,0
252,13,1979,2432,70,2803,13,6,10,12,17,25,131,0,1
253,14,1979,2639,75,2959,14,13,6,6,16,34,200,0,1
254,15,1979,2957,83,3296,12,5,7,4,26,41,259,0,1
255,16,1979,3818,104,4445,19,4,9,9,22,60,447,0,0
256,18,1979,2519,73,2979,22,7,15,10,8,33,260,0,1
257,19,1979,3349,98,3929,15,9,10,7,15,57,440,1,0
258,30,1979,2951,93,3777,14,9,6,5,9,64,726,1,0
259,20,1979,2400,69,2785,11,5,10,4,7,43,305,0,0
260,22,1979,2501,83,3038,20,13,14,11,17,28,317,1,1
261,23,1979,2363,69,2939,16,10,3,8,8,40,416,1,1
262,24,1979,3186,93,3731,17,14,7,7,6,59,405,0,2
263,11,1979,2663,78,2998,12,7,12,10,20,29,135,0,0
264,26,1979,2363,69,2726,16,9,10,7,11,32,223,0,0
265,27,1979,2318,67,2687,11,4,5,4,12,42,289,0,3
266,28,1979,2297,68,2733,19,12,7,8,10,31,276,0,0
267,31,1979,3017,90,3551,23,11,12,9,10,48,354,0,1
268,0,1980,2522,77,3152,11,7,6,5,11,48,530,0,0
269,1,1980,2592,79,3207,16,5,11,10,7,46,415,0,0
270,2,1980,2719,85,3457,22,7,13,13,6,46,478,0,2
271,3,1980,2304,73,2828,12,2,15,16,6,34,204,0,1
272,4,1980,2512,70,3075,10,4,4,6,4,52,443,1,0
273,5,1980,2145,66,2530,12,5,10,7,6,38,245,0,0
274,6,1980,2953,88,3722,18,10,8,12,4,54,529,1,1
275,7,1980,3166,99,4111,12,6,4,15,12,62,645,1,1
276,8,1980,1928,60,2347,10,4,5,3,5,43,359,0,1
277,9,1980,2868,84,3317,23,17,4,8,11,44,289,0,1
278,10,1980,2726,82,3203,22,6,8,6,13,49,357,1,2
279,12,1980,2468,71,2903,17,9,9,11,10,32,215,0,0
280,13,1980,2780,77,3279,18,7,11,8,9,42,339,0,2
281,14,1980,2563,75,2947,16,11,12,8,9,35,224,0,1
282,15,1980,2707,79,3087,25,5,13,7,18,36,240,0,0
283,16,1980,3445,94,4211,16,7,12,13,4,58,506,0,0
284,18,1980,2527,73,3096,15,3,7,10,7,46,369,1,1
285,19,1980,2576,72,3036,16,9,9,8,8,38,300,1,1
286,30,1980,2173,67,2727,19,5,5,8,9,40,394,0,0
287,20,1980,2845,87,3327,18,7,11,7,12,50,342,0,0
288,22,1980,2115,63,2392,12,9,11,2,13,28,237,0,0
289,23,1980,2551,71,3099,18,13,4,14,6,34,268,0,0
290,24,1980,2549,76,3002,14,17,7,5,5,42,353,0,1
291,11,1980,2840,85,3331,11,4,8,7,14,52,351,0,0
292,26,1980,2949,89,3499,23,4,14,3,20,48,490,1,0
293,27,1980,2211,68,2827,15,3,7,7,9,42,476,0,2
294,28,1980,2339,66,2656,13,11,8,5,8,34,217,0,0
295,31,1980,2720,81,3139,20,13,6,8,12,42,259,0,0
296,0,1981,2894,93,3858,14,4,9,15,8,57,664,1,0
297,1,1981,3797,114,4531,31,10,19,7,12,66,594,1,0
298,2,1981,2636,72,3272,17,10,6,11,3,42,416,0,1
299,3,1981,2715,80,3175,16,10,11,12,13,34,220,0,0
300,4,1981,2990,86,3478,20,10,8,5,17,46,388,0,0
301,5,1981,2391,68,2884,11,8,14,12,4,30,253,0,2
302,6,1981,2587,80,3375,17,10,6,6,6,52,668,1,2
303,7,1981,2447,69,2883,18,7,7,8,10,37,276,0,0
304,8,1981,2232,62,2540,16,15,2,7,7,31,168,0,1
305,9,1981,2324,70,2697,9,10,5,4,5,46,293,0,0
306,10,1981,2629,78,3071,11,8,14,2,10,44,402,0,0
307,12,1981,2913,81,3284,19,18,10,7,8,38,231,0,0
308,13,1981,2880,83,3386,21,10,8,11,9,45,286,0,0
309,14,1981,2214,64,2580,18,17,6,6,1,34,246,0,0
310,15,1981,2866,87,3543,13,4,9,5,10,59,577,2,1
311,16,1981,3397,97,4198,19,10,8,12,6,61,561,1,0
312,18,1981,2881,81,3290,27,12,16,13,9,31,149,0,0
313,19,1981,2385,64,2784,21,7,7,5,6,39,299,0,0
314,30,1981,2717,79,3137,17,2,8,3,19,47,360,0,0
315,20,1981,2639,82,3330,16,10,9,9,4,50,511,0,2
316,22,1981,2386,75,2951,14,6,13,13,8,35,305,1,0
317,23,1981,3404,98,4238,23,23,2,16,12,45,514,0,0
318,24,1981,3194,89,3735,19,13,13,3,8,52,481,0,0
319,11,1981,2435,73,2923,13,0,6,5,12,50,388,1,0
320,26,1981,2270,66,2672,11,8,3,6,13,36,282,0,0
321,27,1981,2459,68,2652,16,7,8,2,18,33,153,0,0
322,28,1981,2963,84,3641,25,12,12,16,10,34,358,2,0
323,31,1981,3027,88,3646,17,14,8,11,9,46,399,1,0
324,0,1982,1392,44,1676,11,11,6,3,4,20,224,1,1
325,1,1982,2079,59,2453,10,8,7,3,7,34,314,0,0
326,2,1982,1053,31,1201,7,1,4,4,5,17,68,0,0
327,3,1982,1278,35,1328,13,6,5,1,13,10,30,0,0
328,4,1982,1699,45,2026,14,9,3,5,3,25,227,0,0
329,5,1982,1541,48,1877,11,4,6,6,2,30,216,0,1
330,6,1982,1308,39,1620,6,5,1,6,4,23,192,0,1
331,7,1982,1957,54,2365,8,4,4,6,4,36,288,0,0
332,8,1982,722,21,868,5,6,3,3,2,7,86,0,2
333,9,1982,1102,38,1540,7,8,0,5,3,22,338,2,0
334,10,1982,1578,46,2044,8,4,0,12,4,26,226,0,0
335,12,1982,1384,37,1542,6,8,3,2,3,21,118,0,0
336,13,1982,1196,35,1353,11,1,9,4,7,14,77,0,0
337,14,1982,1448,44,1784,8,8,4,1,0,31,316,0,0
338,15,1982,1393,43,1690,9,6,5,5,3,24,197,0,0
339,16,1982,1829,49,2096,16,9,8,3,4,25,207,0,0
340,18,1982,1155,35,1348,8,4,3,2,9,17,153,1,1
341,19,1982,1627,48,1964,9,5,8,5,4,26,237,0,0
342,30,1982,1813,55,2186,7,2,3,4,11,35,293,0,0
343,20,1982,1361,42,1687,7,4,6,2,3,27,286,0,0
344,22,1982,1849,49,2140,10,6,3,5,9,26,191,0,0
345,23,1982,1708,47,1839,12,9,5,3,13,17,71,0,0
346,24,1982,1520,45,1961,10,8,2,2,2,31,401,1,1
347,11,1982,1731,51,1937,10,3,10,5,3,30,106,0,1
348,26,1982,1617,46,1976,6,1,6,6,4,29,239,0,0
349,27,1982,1760,49,1889,9,1,3,3,23,19,69,0,0
350,28,1982,1719,49,1981,11,7,5,4,5,28,182,0,0
351,31,1982,2088,58,2384,7,8,8,6,6,30,176,0,0
352,0,1983,2154,65,2552,16,8,6,6,7,38,278,0,1
353,1,1983,2977,92,3399,21,14,15,5,14,44,322,0,2
354,2,1983,2314,67,2804,13,8,4,9,5,41,310,0,2
355,3,1983,2990,89,3533,24,9,9,7,22,42,403,0,0
356,4,1983,2956,87,3620,19,11,6,7,8,55,524,0,0
357,5,1983,2385,70,2854,17,9,13,8,10,30,309,0,0
358,6,1983,3165,95,4008,16,4,9,12,11,59,603,1,1
359,7,1983,3082,85,3529,14,5,13,7,13,47,307,0,0
360,8,1983,2304,63,2763,13,9,6,8,5,35,299,0,0
361,9,1983,3031,93,3710,21,21,5,6,7,54,559,1,0
362,10,1983,3302,91,4124,20,10,10,9,7,55,642,1,0
363,12,1983,2604,82,3272,14,7,9,4,9,53,588,1,1
364,13,1983,2740,74,3189,26,7,11,11,13,32,229,0,1
365,14,1983,2870,86,3521,17,15,3,7,4,57,511,0,0
366,15,1983,2484,70,2823,18,3,13,8,12,34,179,0,1
367,16,1983,3003,84,3386,29,12,11,5,9,47,283,0,1
368,18,1983,2751,81,3218,17,0,11,5,18,47,367,1,1
369,19,1983,2429,71,2911,17,10,9,9,4,39,302,0,1
370,30,1983,2622,79,3136,12,6,3,8,15,47,354,0,1
371,20,1983,2345,69,2869,11,5,6,7,8,43,384,1,1
372,22,1983,3003,81,3615,25,11,5,11,6,48,392,0,0
373,23,1983,2802,78,3336,17,15,8,10,10,35,334,2,0
374,24,1983,2810,82,3301,18,11,8,12,12,39,251,0,1
375,11,1983,2349,72,2796,29,4,14,2,11,41,407,1,0
376,26,1983,2405,78,3178,10,3,4,10,10,51,573,2,0
377,27,1983,2733,79,3118,25,9,6,10,18,36,185,0,0
378,28,1983,2794,80,3352,20,16,7,7,6,44,418,1,0
379,31,1983,3323,91,3780,28,25,8,8,10,40,297,0,0
380,0,1984,2106,61,2536,19,8,7,12,4,30,190,0,1
381,1,1984,2999,83,3328,26,16,10,4,12,41,249,0,2
382,2,1984,2362,67,2832,19,12,6,8,3,38,310,0,0
383,3,1984,2939,88,3696,16,9,9,8,10,52,597,0,2
384,4,1984,3395,96,3850,16,11,10,6,25,44,335,0,0
385,5,1984,2564,74,3213,16,5,11,8,7,43,489,0,2
386,6,1984,2359,68,2849,12,8,4,9,11,36,310,0,0
387,7,1984,2195,67,2594,19,9,10,8,13,27,239,0,1
388,8,1984,2314,66,2773,11,11,4,3,5,43,399,0,0
389,9,1984,3676,98,4397,22,8,11,13,6,60,461,0,0
390,10,1984,3643,98,4383,21,4,10,7,15,62,600,0,0
391,12,1984,3673,108,4123,25,12,11,11,19,55,230,0,0
392,13,1984,1943,51,2281,15,5,6,10,13,17,138,0,0
393,14,1984,3274,92,3880,21,18,2,6,8,58,486,0,0
394,15,1984,2285,68,2855,12,10,6,6,4,42,450,1,2
395,16,1984,2919,90,3598,22,7,10,10,13,50,479,2,4
396,18,1984,2533,74,2935,19,3,7,8,19,37,242,0,1
397,19,1984,2488,76,3164,13,12,5,8,2,49,516,1,0
398,30,1984,2764,88,3482,20,11,3,5,9,60,618,0,0
399,20,1984,2988,85,3596,18,12,10,12,5,46,368,0,0
400,22,1984,3222,92,3904,20,13,10,12,12,45,442,1,0
401,23,1984,3224,91,3809,25,24,7,12,14,34,345,0,0
402,24,1984,2490,74,2866,21,2,7,9,21,35,196,0,0
403,11,1984,2547,72,2834,11,6,7,5,16,38,187,0,1
404,26,1984,2330,69,3020,9,10,0,7,5,47,550,1,1
405,27,1984,3162,95,3567,24,8,6,10,39,32,205,1,0
406,28,1984,2432,70,2883,21,14,8,5,6,37,351,1,0
407,31,1984,2998,82,3473,16,13,10,2,8,49,435,0,0
408,0,1985,2948,86,3422,30,25,13,9,6,33,294,1,1
409,1,1985,2387,68,2870,18,9,13,14,9,23,203,0,1
410,2,1985,1869,62,2563,10,8,5,7,0,42,554,1,1
411,3,1985,3300,92,3818,33,16,8,4,15,49,438,1,0
412,4,1985,3199,92,3764,16,18,7,12,17,38,325,0,2
413,5,1985,2797,81,3261,18,17,6,8,14,36,304,0,0
414,6,1985,2594,77,3233,12,9,8,6,7,47,519,0,2
415,7,1985,2929,85,3545,20,6,8,8,12,51,456,0,2
416,8,1985,2427,68,2881,15,11,11,9,1,36,274,0,0
