id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
351,31,1982,23,100.0,0,43,1
352,0,1983,51,100.0,0,52,1
353,1,1983,35,92.1,0,50,0
354,2,1983,39,95.1,0,47,1
355,3,1983,34,94.4,0,48,2
356,4,1983,33,97.1,0,50,0
357,5,1983,38,95.0,0,58,0
358,6,1983,25,86.2,0,49,1
359,7,1983,45,95.7,0,52,2
360,8,1983,43,95.6,0,51,1
361,9,1983,44,97.8,0,58,1
362,10,1983,22,91.7,0,55,1
363,12,1983,57,96.6,0,47,0
364,13,1983,45,93.8,0,52,1
365,14,1983,24,88.9,0,52,1
366,15,1983,43,95.6,0,49,0
367,16,1983,22,95.6,0,56,0
368,18,1983,36,97.3,0,49,2
369,19,1983,38,100.0,0,54,0
370,30,1983,33,97.1,0,51,1
371,20,1983,52,100.0,0,48,2
372,22,1983,31,86.1,0,43,1
373,23,1983,51,96.2,0,47,1
374,24,1983,42,91.3,0,49,5
375,11,1983,62,98.4,0,51,0
376,26,1983,37,97.4,0,52,2
377,27,1983,49,98.0,0,54,0
378,28,1983,38,97.4,0,49,2
379,31,1983,33,97.1,0,44,0
380,0,1984,56,100.0,0,53,3
381,1,1984,35,94.6,0,52,0
382,2,1984,37,100.0,0,48,0
383,3,1984,31,100.0,0,52,2
384,4,1984,38,92.7,0,50,0
385,5,1984,25,100.0,0,60,0
386,6,1984,38,95.0,0,49,0
387,7,1984,48,94.1,0,52,5
388,8,1984,46,97.9,0,51,1
389,9,1984,35,100.0,0,52,1
390,10,1984,27,96.4,0,54,2
391,12,1984,33,97.1,0,52,1
392,13,1984,66,94.3,0,37,1
393,14,1984,26,96.3,0,52,0
394,15,1984,31,100.0,0,52,0
395,16,1984,32,91.4,0,48,1
396,18,1984,38,97.4,0,52,2
397,19,1984,31,100.0,0,52,1
398,30,1984,27,100.0,0,49,0
399,20,1984,48,98.0,0,51,1
400,22,1984,42,100.0,0,48,0
401,23,1984,40,95.2,0,50,3
402,24,1984,37,97.4,0,50,1
403,11,1984,48,94.1,0,51,1
404,26,1984,34,100.0,0,53,1
